image,layer,mean,sd,roughness_Ra,roughness_Ra1
Resized_1_0001.tif,ilm - isos,95.38046,120.12998,111.29339,1.16684
Resized_1_0003.tif,ilm - isos,6.57983,1.68374,0.98669,0.14996
Resized_1_0004.tif,ilm - isos,6.66891,1.95871,1.13714,0.17051
Resized_1_0005.tif,ilm - isos,6.45924,1.35271,0.79094,0.12245
Resized_1_0008.tif,ilm - isos,6.36555,1.05311,0.63448,0.09967
Resized_1_0009.tif,ilm - isos,11.98824,17.70727,9.78081,0.81587
Resized_1_0010.tif,ilm - isos,6.54433,1.76102,0.94869,0.14496
Resized_1_0011.tif,ilm - isos,6.32017,1.03704,0.56796,0.08987
Resized_1_0015.tif,ilm - isos,128.57080,123.84097,121.18519,0.94256
Resized_1_0016.tif,ilm - isos,6.32080,1.13393,0.57771,0.09140
Resized_1_0017.tif,ilm - isos,6.44412,1.28033,0.76545,0.11878
Resized_1_0018.tif,ilm - isos,7.20693,3.75201,1.97604,0.27419
Resized_1_0021.tif,ilm - isos,6.72563,2.01891,1.20705,0.17947
Resized_1_0022.tif,ilm - isos,13.84349,21.49999,12.59667,0.90993
Resized_1_0024.tif,ilm - isos,6.42941,1.42090,0.75291,0.11710
Resized_1_0029.tif,ilm - isos,6.55084,1.43000,0.91328,0.13941
Resized_1_0030.tif,ilm - isos,6.37815,1.20893,0.66860,0.10483
Resized_1_0031.tif,ilm - isos,6.67395,1.78009,1.12363,0.16836
Resized_6_0000.tif,ilm - isos,6.47868,2.06509,0.87029,0.13433
Resized_6_0001.tif,ilm - isos,6.37715,1.58802,0.68928,0.10809
Resized_6_0002.tif,ilm - isos,6.50690,1.66884,0.88210,0.13556
Resized_6_0003.tif,ilm - isos,6.40798,1.41913,0.72860,0.11370
Resized_6_0004.tif,ilm - isos,6.50920,1.70439,0.88923,0.13661
Resized_6_0005.tif,ilm - isos,6.35215,1.39419,0.63959,0.10069
Resized_6_0006.tif,ilm - isos,6.92224,3.51469,1.58365,0.22878
Resized_6_0008.tif,ilm - isos,9.40399,16.11244,5.96653,0.63447
Resized_6_0009.tif,ilm - isos,58.72975,71.67636,63.77462,1.08590
Resized_6_0010.tif,ilm - isos,6.37301,1.16613,0.65654,0.10302
Resized_6_0012.tif,ilm - isos,6.30752,1.20084,0.56164,0.08904
Resized_6_0013.tif,ilm - isos,6.38374,1.40594,0.69097,0.10824
Resized_6_0014.tif,ilm - isos,12.57730,22.97552,10.79268,0.85811
Resized_6_0015.tif,ilm - isos,9.22730,11.63582,5.53593,0.59995
Resized_6_0016.tif,ilm - isos,6.55951,2.02428,0.97571,0.14875
