image,layer,mean,sd,roughness_Ra,roughness_Ra1
1.tif,ilm - isos,6.14368,0.60342,0.26651,0.04338
2.tif,ilm - isos,6.33208,1.18513,0.58459,0.09232
3.tif,ilm - isos,6.16307,0.68234,0.30389,0.04931
4.tif,ilm - isos,6.59698,2.35068,1.09361,0.16577
5.tif,ilm - isos,6.95632,1.80344,1.37183,0.19721
6.tif,ilm - isos,6.98727,2.07288,1.45175,0.20777
7.tif,ilm - isos,8.41066,3.32532,2.70000,0.32102
8.tif,ilm - isos,8.09543,3.39824,2.56962,0.31742
9.tif,ilm - isos,7.11269,2.13855,1.48311,0.20852
10.tif,ilm - isos,15.58782,17.29468,11.00053,0.70571
11.tif,ilm - isos,6.28020,1.07119,0.50465,0.08036
12.tif,ilm - isos,7.57360,2.63506,1.95685,0.25838
13.tif,ilm - isos,7.57665,2.47680,1.90383,0.25128
Virgin.1.tif,ilm - isos,6.09052,0.63069,0.17567,0.02884
Virgin.tif,ilm - isos,6.31333,0.96956,0.53580,0.08487

image,layer,mean,sd,roughness_Ra,roughness_Ra1
1.tif,ilm - isos,6.14368,0.60342,0.26651,0.04338
2.tif,ilm - isos,6.33208,1.18513,0.58459,0.09232
3.tif,ilm - isos,6.16092,0.67810,0.30016,0.04872
4.tif,ilm - isos,6.60201,2.35383,1.10131,0.16681
5.tif,ilm - isos,6.95632,1.80344,1.37183,0.19721
6.tif,ilm - isos,6.98931,2.07486,1.45475,0.20814
7.tif,ilm - isos,45.78883,57.07939,51.36047,1.12168
8.tif,ilm - isos,8.07919,3.39522,2.55946,0.31680
9.tif,ilm - isos,7.11472,2.13677,1.48145,0.20822
10.tif,ilm - isos,31.72284,41.11001,33.16498,1.04546
11.tif,ilm - isos,6.28020,1.07119,0.50465,0.08036
12.tif,ilm - isos,7.72995,2.71578,2.03984,0.26389
13.tif,ilm - isos,7.58680,2.49384,1.91677,0.25265
Virgin.1.tif,ilm - isos,6.09052,0.63069,0.17567,0.02884
Virgin.tif,ilm - isos,6.31333,0.96956,0.53580,0.08487

image,layer,mean,sd,roughness_Ra,roughness_Ra1
1.tif,ilm - isos,11.14889,4.38991,3.71408,0.33313
2.tif,ilm - isos,10.66577,4.51763,3.73336,0.35003
3.tif,ilm - isos,11.04292,4.55548,3.65747,0.33121
4.tif,ilm - isos,10.87356,4.18344,3.52329,0.32402
5.tif,ilm - isos,6.95632,1.80344,1.37183,0.19721
6.tif,ilm - isos,6.98931,2.07486,1.45475,0.20814
7.tif,ilm - isos,13.16345,4.98843,4.17064,0.31683
8.tif,ilm - isos,14.02030,5.53080,4.28785,0.30583
9.tif,ilm - isos,14.52183,5.68719,4.72364,0.32528
10.tif,ilm - isos,15.05178,4.54193,3.71320,0.24670
11.tif,ilm - isos,12.21168,4.19997,3.42771,0.28069
12.tif,ilm - isos,12.55076,4.16053,3.38349,0.26958
13.tif,ilm - isos,13.68883,4.18832,3.46550,0.25316
Virgin.1.tif,ilm - isos,10.17475,4.00523,3.28094,0.32246
Virgin.tif,ilm - isos,9.05333,2.92085,2.51382,0.27767
